LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQTY,MAXPCB_INTIME,
1,FXXIPMULM6760JHSJ100,Loader 1,0,1,,0,0,,0,0,0,Route_New_1,,0,,,
1,FXXIPMULM6760JHSJ100,AOI 3D 01,1,1,JCOW411_ARC TOP,1,0,,0,0,0,Route_New_1,,0,,,
1,FXXIPMULM6760JHSJ100,SPI 1,2,1,JCOW411_ARC TOP,2,0,,0,0,0,Route_New_1,,0,,,
1,FXXIPMULM6760JHSJ100,1,3,1,JCOW411_ARC TOP,1,0,,0,0,0,Route_New_1,,0,,,
1,FXXIPMULM6760JHSJ100,1,3,1,JCOW411_ARC TOP,1,0,,0,0,0,Route_New_1,,0,,,
1,FXXIPMULM6760JHSJ100,1,3,1,JCOW411_ARC TOP,1,0,,0,0,0,Route_New_1,,0,,,
2,FXXIPMULM6760JHSJ100,AOI 3D 2,4,1,JHS400_BOT_NXTIII_LINE_1,1,0,,0,0,0,Route_New_1,,0,,,
